sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
C31-C17d-C31.1-C31a-C21-C31f-C21ac-C31l,179488,0.10604518755892321,0.22610705640902248,-0.03865881940455905,0.09446967711422641,-0.02348007954301759,-0.026236657447331422,0.021696412830689397,0.009032067806240674,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C17f-C31.9,179267,0.10196815713564347,-0.17508907002513927,0.010643012523783805,0.031526670181134024,-0.06318818707882665,-0.03044101963570554,0.019623427836735978,0.006436619019672892,-0.0,0.0,0.0,0.0,0.0
C3/C15,178820,-0.8686320645168888,0.03278113407234112,-0.08253433089765805,-0.03266008751527151,0.017379610011786895,-0.003645386563830804,0.005941846602208082,-0.0026938695473732567,-0.0,0.0,0.0,0.0,0.0
C15/C31-C17d,179750,-0.31264332271302403,-0.07735428954145451,0.18623238557332772,0.07155105589146268,-0.03932061809685028,0.010779232001580197,-0.012962564734881993,0.008096944088952025,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31k-C21ac-C17e,179274,0.1026559909711041,-0.07786650203185676,0.12250174175089372,-0.049876273641362066,0.04762849053921459,0.035487891563168825,0.041110771916141695,-0.02498782306701858,-0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C17e-C21ac-C17f,178571,0.10740390198865728,-0.1088440702916733,0.06574883184435609,-0.10471348653438096,-0.024099004498476583,-0.035869216619687554,0.0075985485472746155,0.01826723297950604,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C31.1-C21-C31a-C17e-C21ac-C31.10,179711,0.12058428345691137,0.14913967408715764,-0.01287374742824636,-0.07907874214148446,0.04717800278739326,0.022474637775479974,-0.003428823707807859,0.049027556039666464,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31a-C21ac-C31.9,179186,0.1159269138983725,-0.05391762359113965,-0.028239776979541605,0.09209176111880354,-0.018135075897568385,0.06484345884466751,-0.0028984862314844675,0.006653945289593579,-0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,179282,0.1113978602311494,-0.13976103598495296,0.007180624177720017,-0.08638982498894424,-0.005389781117742927,-0.0010528746597418639,-0.04213420751124268,-0.015427778514523654,-0.0,0.0,0.0,0.0,0.0
C31/C17d/C21-C31.9-C31.5-C21ac-C31a-C17f,179284,0.10951825404473048,-0.10634783517324356,-0.25991749330747277,-0.02031535453776752,-0.03254333820038618,0.014277307866150637,0.0020793866773800487,-0.00891090005443193,-0.0,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C31f-C31l,179483,0.08843183830310697,0.28533876910188244,0.05253841915920892,-0.004535903567101545,-0.03136443206024766,0.0014703718284347364,-0.03237205706542509,-0.018799234625885747,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C21ac-C31i-C31h,179196,0.0991772996640468,-0.14146474426562622,-0.02255719808044601,0.11305024666724564,0.10656134144743253,-0.034269315797355336,-0.018501061692286366,-0.0004515205816498915,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C31.1-C21-C31a-C31f-C21ac-C17e,179487,0.11816569997726788,0.1872785372346833,-6.364893136625015e-05,-0.025119738046561126,0.018773071707289247,-0.017818429155827594,0.014246806532702456,-0.02624323883274587,-0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.6419656318793066,0.19602845462514815,0.08795880742382238,0.042972579999630195,0.016754012174319762,0.007008828007900779,0.004061444832865821,0.0032502410570064227,0.0,0.0,0.0,0.0,0.0
