sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
C31-C17d-C31.1-C31a-C21-C31f-C21ac-C31l,179488,0.09913264596193376,0.2196027530512111,0.05206424205827393,-0.024242372437392266,0.04884094297663958,-0.009722728033365834,-0.007961275418356646,0.010132862742604757,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C17f-C31.9,179267,0.10823564545948736,-0.1370080035352925,-0.06080853431343269,-0.017424291101977026,0.06490607022908516,0.007491412558890878,-0.006083267705387368,0.009022089247035188,-0.0,0.0,0.0,0.0,0.0
C3/C15,178820,-0.876652321925693,-0.005203846567447305,0.036400673895623806,0.017240127227784077,0.0016225849188447694,-0.009923292613386155,-0.0016888443226531656,-6.075921818207256e-05,-0.0,0.0,0.0,0.0,0.0
C15/C31-C17d,179750,-0.29187210804907743,0.003878435213238369,-0.10153212898854254,-0.04692069966006735,-0.0059814553728433535,0.024687019947975578,0.004018395918641775,0.000863073984109382,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31k-C21ac-C17e,179274,0.11443358019352914,-0.06003358948271329,-0.0759353208923602,-0.0026362221572992714,-0.04096710266168036,-0.039597569334602505,0.018396597504058324,0.02208956914080082,-0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C17e-C21ac-C17f,178571,0.10815576921420947,-0.14065539745566244,-0.06593560232951634,0.07447080818310801,0.0012192837582238668,0.00838128206974539,-0.01167871478807178,0.008818941359356345,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C31.1-C21-C31a-C17e-C21ac-C31.10,179711,0.1122208346539695,0.12014304385561511,0.0018497198428522733,0.022390368995431252,-0.04583324324880632,0.04429002675543421,-0.019878891722196954,0.00711703049957515,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31a-C21ac-C31.9,179186,0.12025226552532776,-0.011381946103248107,0.034575753761547284,-0.057922778347370814,0.0020036663301283637,0.02302291336718258,0.029423997474192668,0.0030188242857579145,-0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,179282,0.10862517532416509,-0.15789057825204986,-0.04627868709114345,0.06258612924122249,0.00972859449210363,-0.005374990047550802,0.005802626681055187,-0.027786362990826336,-0.0,0.0,0.0,0.0,0.0
C31/C17d/C21-C31.9-C31.5-C21ac-C31a-C17f,179284,0.0893059115767192,-0.2064609303489264,0.2178085136590167,0.010264847092018855,-0.009447340616482162,0.0027886819528319196,0.001648965507597587,0.0032935010876532942,-0.0,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C31f-C31l,179483,0.08867250785790882,0.25601721780283376,0.0023728100639141677,0.0391649387272133,0.0017422379066920105,0.004808911031563313,0.021549318051099844,-0.016875199984081463,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C21ac-C31i-C31h,179196,0.1121340557785016,-0.06051076475509347,-0.013494154626674894,-0.10818499707465197,-0.023231881923192182,-0.018251897058960413,-0.02015388027601248,-0.02037581871466566,-0.0,0.0,0.0,0.0,0.0
C31/C17d-C31.1-C21-C31a-C31f-C21ac-C17e,179487,0.10735603842901868,0.17950360657753525,0.01891271496044106,0.03121414131198024,-0.004602356788715125,-0.03259977059575962,-0.013395026903967608,0.0007422485608648481,-0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.7061416416474684,0.19764770824690356,0.057339433709785476,0.022388178048131827,0.00805741292948519,0.004648853372322656,0.002122046879027823,0.0016547251668749463,0.0,0.0,0.0,0.0,0.0
