sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5
D4/D1-D6-D1ab-D17d-D17j,180160,0.27085441470530097,0.0005248063453899171,0.0030827928808693653,-0.0,0.0
D4/D1/D6-D1ab-D3h,180156,-0.044040785708081925,-0.015431294606859432,0.012432381966353297,-0.0,0.0
D4/D1-D6-D3h,180158,-0.0831300661409088,0.09363298836412896,0.01174141421732661,-0.0,0.0
D1/D4/D1ab-D6-D4d,180157,-0.05138948191437144,-0.007432560611526904,-0.04466523402426129,-0.0,0.0
D1/D4/D6/D1ab,179998,-0.09229408094193858,-0.0712939394911326,0.017408644959711974,-0.0,0.0
proportion_explained,0,0.8479445747318199,0.12844398841400087,0.023611436854179168,0.0,0.0
