sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5
D4/D1-D6-D1ab-D17d-D17j,180160,0.11277412705112036,0.03821320845239173,0.004810252532663818,-0.0,0.0
D4/D1/D6-D1ab-D3h,180156,-0.0010585242484096639,-0.005528398030577485,0.0008651741494394364,-0.0,0.0
D4/D1-D6-D3h,180158,0.014102652497450381,-0.06904144595269325,0.007656334741261811,-0.0,0.0
D1/D4/D1ab-D6-D4d,180157,-0.026500348575798915,0.0036971754490770945,-0.027103538465285043,-0.0,0.0
D1/D4/D6/D1ab,179998,-0.09931790672436205,0.03265946008180197,0.013771777041920022,-0.0,0.0
proportion_explained,0,0.73782934599383,0.23053999841133144,0.031630655594838554,0.0,0.0
