sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5
D4/D1-D6-D1ab-D17d-D17j,180160,-0.08811992458070353,0.5063368385693447,0.18812435161327656,-0.0,0.0
D4/D1/D6-D1ab-D3h,180156,-0.1772092852479201,-0.00966204058534298,-0.11108192000659532,-0.0,0.0
D4/D1-D6-D3h,180158,-0.8795114970523811,-0.24109687962150086,0.005931110204574033,-0.0,0.0
D1/D4/D1ab-D6-D4d,180157,0.49913797885156597,0.028069216656059277,-0.3799377289353479,-0.0,0.0
D1/D4/D6/D1ab,179998,0.6457027280294392,-0.28364713501855976,0.29696418712409267,-0.0,0.0
proportion_explained,0,0.6862319261954023,0.18369146537211298,0.13007660843248472,0.0,0.0
