sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5
D4/D1-D6-D1ab-D17d-D17j,180160,0.11786531589659481,0.05609847477661574,-0.000923322634735136,-0.0013224848930868181,-0.0
D4/D1/D6-D1ab-D3h,180156,-0.026133509648875966,0.016222004515860478,0.0011984293418583316,0.005001565159426647,-0.0
D4/D1-D6-D3h,180158,-0.131703861259935,0.03117769666139984,-0.002037657542570024,-0.002368877674356733,-0.0
D1/D4/D1ab-D6-D4d,180157,0.02240409476199887,-0.05451702430035372,-0.03291573262152703,-0.000494030606101559,-0.0
D1/D4/D6/D1ab,179998,0.017567960250217438,-0.04898115165352228,0.0346782834569739,-0.0008161719858810454,-0.0
proportion_explained,0,0.7304395284057045,0.2176589410601412,0.05115871170660697,0.0007428188275473045,0.0
