sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
143751	670A	670A_S363_L001_R1_001.fastq.gz	5bf4d289c8a26036dd63b0e80d764cba7eef8860f3ab9e2e5576836b4de6c602	670A_S363_L001_R2_001.fastq.gz	594a40bf7c53398ac30e0adf89109c713419e128a6e750efac9ae134370416f5	679	20220112_matsuda	1.6908371786420566	1.0108767303889254	0.035596572181938034	1.0108767303889254	0.035596572181938034	0.0	0.0	0.0	0.0	1.0	0.01054713249835201	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143752	670B	670B_S364_L001_R1_001.fastq.gz	2350a527e1e78106d175f89b70932e09fa84c46624a24e53faa77b5164dd73d5	670B_S364_L001_R2_001.fastq.gz	d8c7d63a4a7459a7afd3312a7cd14e555c36881e4f880280cb0dee7a8d3800b2	679	20220112_matsuda	1.7429414243573536	1.0219131900547829	0.04382638010956595	1.0219131900547829	0.04382638010956595	0.0	0.0	0.0	0.0	1.0	0.017277707543194267	0	0	0.006321112515802781	0.003792667509481669	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143697	322A	322A_S312_L001_R1_001.fastq.gz	700af92ce15ad496bf08049bbf749a5b24a7a3272a8217f9a379034717c0c1af	322A_S312_L001_R2_001.fastq.gz	1c5532967bf41c0355bd7daec77f7a354f804ea357ecb0e6ac5003c105778184	679	20220112_matsuda	1.570515162586774	1.0367190354402631	0.040372670807453416	1.0367190354402631	0.040372670807453416	0.0	0.0	0.0	0.0	1.0	0.003653635367190354	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143708	34C	34C_S281_L001_R1_001.fastq.gz	ccdbf2e4caf0a9aadc32adcf544538ac68038ef458837daf9b201a41aa763d70	34C_S281_L001_R2_001.fastq.gz	03701d46ec2df5179c1d14243ec816890d3c34e4b355f552e903e71d8a42bc2b	679	20220112_matsuda	1.6651593940764187	1.0370789057200995	0.040470269048157356	1.0370789057200995	0.040470269048157356	0.0	0.0	0.0	0.0	1.0	0.005200090436355415	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143706	34A	34A_S279_L001_R1_001.fastq.gz	fd9427e70adc7f1b7073ec441d959531b1d13648b545abc9620bcc71eb09a613	34A_S279_L001_R2_001.fastq.gz	d4267152cc65b8c0533b277825604f2ffa4d3d054c2b9489f8f56cbd04c46b6a	679	20220112_matsuda	1.647705078125	1.052978515625	0.038818359375	1.052978515625	0.038818359375	0.0	0.0	0.0	0.0	1.0	0.0068359375	0	0	0.00634765625	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143707	34B	34B_S280_L001_R1_001.fastq.gz	248872e92c010ae58c08c2a278d317cd66c756cdc6f640abdadc48cb81e65e55	34B_S280_L001_R2_001.fastq.gz	274238015046ed69c614a9881c2093f85a5ea45c55a3e74b82ed35df66048dfb	679	20220112_matsuda	1.6707517834278398	1.051948051948052	0.04133894274739345	1.051948051948052	0.04133894274739345	0.0	0.0	0.0	0.0	1.0	0.005121638924455826	0	0	0.005121638924455826	0.0007316627034936894	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143735	586C	586C_S290_L001_R1_001.fastq.gz	3c162e673ecd2a3baf0d39c1da7474e69388f7103e30add16cd910275ec8cfae	586C_S290_L001_R2_001.fastq.gz	3de271fe7034e56c3ae3b83c2ce4892b0999ac0997a3ebd91bc7c0e47af1b5f6	679	20220112_matsuda	1.671115347950429	1.0400381315538607	0.044804575786463297	1.0400381315538607	0.044804575786463297	0.0	0.0	0.0	0.0	1.0	0.00667302192564347	0	0	0.0044486812837623135	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143733	586A	586A_S288_L001_R1_001.fastq.gz	7565bcdea83a063b4555736567c00e120295f466975326268c7c3d8c53da7e4c	586A_S288_L001_R2_001.fastq.gz	95c92d593f6765126aa1af9a4d972a8f8b0e2259a41dd0fd87decdfd3dd11010	679	20220112_matsuda	1.5789766407119021	1.045884315906563	0.04087875417130145	1.045884315906563	0.04087875417130145	0.0	0.0	0.0	0.0	1.0	0.0033370411568409346	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143734	586B	586B_S289_L001_R1_001.fastq.gz	0626e430e4c92e70f850e9552c1c51638965e2cd534f0380be2e92e173b7b6b5	586B_S289_L001_R2_001.fastq.gz	6201f7229fe87a867c30980cc3aa11cb868f3d5e5ce8aea1a146de990f4c442e	679	20220112_matsuda	1.6797045951859957	1.0399343544857769	0.04458424507658643	1.0399343544857769	0.04458424507658643	0.0	0.0	0.0	0.0	1.0	0.006564551422319475	0	0	0.004102844638949671	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143748	649A	649A_S249_L001_R1_001.fastq.gz	c1d198d37beebc3153182ccc54ecbe3442be83426d23081ad9e0b06183f26e2b	649A_S249_L001_R2_001.fastq.gz	2b5c1f4d667cdaf13569ff586c378ac79ee02cff0dedb808dd2d84d8f345ddd6	679	20220112_matsuda	1.6244085173501577	1.0542192429022081	0.04317823343848581	1.052641955835962	0.04298107255520505	0.0015772870662460567	0.0001971608832807571	0.0	0.0	1.0	0.0053233438485804415	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143750	649C	649C_S251_L001_R1_001.fastq.gz	64b628d773fac268f1494c63fe766e5435b0ef44b47de75f953523d3231fe097	649C_S251_L001_R2_001.fastq.gz	449fc008a07eae7c675b0d056bbb2060331fd93fb8d28f1977a7cfc8a40d556b	679	20220112_matsuda	1.7196312364425164	1.045010845986985	0.04799349240780911	1.0433839479392624	0.04772234273318872	0.0016268980477223427	0.00027114967462039046	0.0	0.0	1.0	0.007592190889370932	0	0	0.017082429501084597	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143749	649B	649B_S250_L001_R1_001.fastq.gz	0a6562e49bcef6f9d9e77cee0e80f0584704a103d308458b578c48d38a9c2ee2	649B_S250_L001_R2_001.fastq.gz	e463bf972a7e106bee50ea0ef8795cc2ee63e782fd167f8107128b82688b8ffd	679	20220112_matsuda	1.667022696929239	1.0472630173564752	0.04138851802403204	1.0472630173564752	0.04138851802403204	0.0	0.0	0.0	0.0	1.0	0.008544726301735648	0	0	0.014419225634178905	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143747	632C	632C_S296_L001_R1_001.fastq.gz	6ed389dc233769b97dee03668d7b7f82ec1df2ab1835bd5636c7663d2d4d194e	632C_S296_L001_R2_001.fastq.gz	27e5fcbdd89aa1b992ff72c16471605707d6739b8132b3a85c85eddaca7321f1	679	20220112_matsuda	1.5819598441714116	1.0275696733593047	0.040905004495055436	1.0275696733593047	0.040905004495055436	0.0	0.0	0.0	0.0	1.0	0.003296373988612526	0	0	0.004195385076415942	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
