sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
143716	479B	479B_S256_L001_R1_001.fastq.gz	1a959565f22e2f2e95f8e22426cf98c19f6c34268e1deaf715c2bc5239a91ec5	479B_S256_L001_R2_001.fastq.gz	3eedafcb82b229beca0bf32af32457c61a1f83c3758b667ea806438805a8a886	679	20220112_matsuda	10118	6546	253	6524	251	22	2	0	0	6231	36	0	0	97	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143657	1262C	1262C_S374_L001_R1_001.fastq.gz	7438a883cfa1f56afe350f02f6b0419d803cfd99f9a89c9ad1392a94534b0e62	1262C_S374_L001_R2_001.fastq.gz	898400db885ba96407c5728f809c06f923e09d5ec96bf91c8050d85149d5061f	679	20220112_matsuda	3583	2191	97	2191	97	0	0	0	0	2133	39	0	0	67	5	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143710	353B	353B_S325_L001_R1_001.fastq.gz	75535c21c89766c9a28113c378835d84bc37fec6f8b9db6e4c903dbee04859b3	353B_S325_L001_R2_001.fastq.gz	ebfd0f2731ba1a0012ed1ba95893f06b47750d64b7d7b69986650e4541446e47	679	20220112_matsuda	6206	3858	158	3843	156	15	2	0	0	3709	43	0	0	197	4	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143718	485A	485A_S369_L001_R1_001.fastq.gz	926aba9c805cd433baa658c23d3a70b2d5218f0b9dc86b4e016ac71388bc37ae	485A_S369_L001_R2_001.fastq.gz	3aef02bbea2dc860ce9c91af630d89de23ba71a7557f5cbd5a19d5dc058fdf41	679	20220112_matsuda	3969	2365	93	2356	92	9	1	0	0	2302	36	0	0	27	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143771	78A	78A_S378_L001_R1_001.fastq.gz	598952b4458d49260f065199c11f9302e422794cb645d9546078e4dcb3f1c805	78A_S378_L001_R2_001.fastq.gz	d799b6cccd7a78b2c901e29c6635fef5ad5e8ad81125f7ad3b1f290c24b6e41b	679	20220112_matsuda	6201	3852	145	3849	144	3	1	0	0	3717	44	0	0	34	28	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143656	1262B	1262B_S373_L001_R1_001.fastq.gz	a6aa72530fc8d3ec60fe0c24c95a95f60d5b7b256d68f232409400eb6f46171f	1262B_S373_L001_R2_001.fastq.gz	4986c02ffce6ebf1360ebad616f5ae44e7fc3119503e678ec96952f1814ecb39	679	20220112_matsuda	5451	3342	152	3342	152	0	0	0	0	3244	46	0	0	63	4	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143662	1264B	1264B_S286_L001_R2_001.fastq.gz	3c742871846fd01ef2ce13d1cf9671ea2d67e9302ec2c209241564c0d4645a6d	1264B_S286_L001_R1_001.fastq.gz	eeae087ce6af84f977732e8562ff7e1c1a91a0741c87069e4b04c312fa849d1b	679	20220112_matsuda	8526	5373	218	5373	218	0	0	0	0	5201	47	0	0	80	16	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143663	1264C	1264C_S287_L001_R2_001.fastq.gz	2955946fe0e27927e7f46ecb721aa9a790d154d86eaa66292c1e3e46f1482c14	1264C_S287_L001_R1_001.fastq.gz	e66bfcbf159be2f30ccf28629d5b8eeba7e619dd6ea7c3135ded4d9d4f579215	679	20220112_matsuda	8599	5434	216	5434	216	0	0	0	0	5272	47	0	0	67	15	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143655	1262A	1262A_S372_L001_R1_001.fastq.gz	219a22f52c43ffa444e32de7e667c6be8eed7d6d4f9396457519bf50d2fb3b92	1262A_S372_L001_R2_001.fastq.gz	922cdf4d3d786a2ed8ff68d99a9754ddaffd6f76d305e9557254944990e79651	679	20220112_matsuda	7394	4611	188	4611	188	0	0	0	0	4468	48	0	0	34	6	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143661	1264A	1264A_S285_L001_R2_001.fastq.gz	0c0741b532e91c8215e53ef24fba250b20fa5cde076a8b0d1c9503646680c7d1	1264A_S285_L001_R1_001.fastq.gz	1afc0498f2cd92c6bc99986765416d26920fe019b11d55d1a316307f68c30bb6	679	20220112_matsuda	9837	6008	240	6008	240	0	0	0	0	5793	47	0	0	46	18	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
